Line Name,End 1 Node Name,End 2 Node Name,R,X,b,Maximum Capacity (MW),B,Nature of Line,,,,
L263,N_3416,N_3468,0.000122012,0.001032685,0.00357903,800,-968.3498114,AC,,4,4,700
L264,N_3416,N_3468,0.000122012,0.001032685,0.00357903,800,-968.3498114,AC,,4,4,700
L265,N_3416,N_3418,0.005117323,0.076333402,0.300358434,800,-13.10042484,AC,,4,4,700
L266,N_3416,N_3418,0.012828845,0.088901643,0.164186704,800,-11.24838609,AC,,4,4,700
L267,N_3416,N_3426,0.001732776,0.01466581,0.050828083,800,-68.18579873,AC,,4,4,700
L268,N_3416,N_3426,0.001732776,0.01466581,0.050828083,800,-68.18579873,AC,,4,4,700
L269,N_3416,N_3424,0.003080034,0.026068693,0.090347663,800,-38.36018889,AC,,4,4,700
L270,N_3416,N_3429,0.012282746,0.085117274,0.157197598,800,-11.74849656,AC,,4,4,700
L271,N_3416,N_3429,0.012282746,0.085117274,0.157197598,800,-11.74849656,AC,,4,4,700
L272,N_3416,N_3429,0.0122778,0.085083,0.1571343,800,-11.7532292,AC,,4,4,700
L273,N_3416,N_3429,0.0122778,0.085083,0.1571343,800,-11.7532292,AC,,4,4,700
L274,N_3415,N_3424,0.000880999,0.006260577,0.046792973,800,-159.7296855,AC,,4,4,700
L275,N_3415,N_3424,0.000880999,0.006260577,0.046792973,800,-159.7296855,AC,,4,4,700
L276,N_3424,N_3428,0.000575657,0.005960702,0.020607291,800,-167.7654675,AC,,4,4,700
L277,N_3424,N_3428,0.000575657,0.005960702,0.020607291,800,-167.7654675,AC,,4,4,700
L278,N_3424,N_3421,0.0064,0.0391,0.365,800,-25.57544757,AC,,4,4,700
