Bus Name,Bus Region,Bus Type,Demand Trace Weightage (%),Power Factor,Prosumer Demand (%),Rooftop PV Capacity (MW),Feedin Price Ratio,Maximum Battery Capacity (MWh),Minimum Battery Capacity (MWh),Maximum Charge Rate (MW/h),Maximum Discharge Rate (MW/h),Battery Efficiency (%),Base_kV,Node Zone,Demand Trace Weightage,Demand Trace Name,Wind Trace Name,PV Trace Name,CST Trace Name,Rooftop PV Trace
N_2252,NSW,0,1.132838346,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2275,NSW,0,1.598757954,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2257,NSW,0,2.900387539,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2195,NSW,0,0,0.9,0,0,0,0,0,0,0,0,500,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2295,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2209,NSW,0,0.65522565,0.9,0,0,0,0,0,0,0,0,330,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
N_2984,NSW,0,0.823712245,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2985,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2986,NSW,0,0.312012214,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2953,NSW,0,0.4368171,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2952,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
N_2971,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2970,NSW,0,0.8736342,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2966,NSW,0,0.411856123,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2962,NSW,0,0.225896843,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2901,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,NVIC,#REF!,NSW,NVIC,NVIC,NVIC,NVIC
N_2902,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
N_2903,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2904,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
N_2905,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2914,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2919,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2925,NSW,0,0,0.9,0,0,0,0,0,0,0,0,20,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_3406,VIC,0,2.266229656,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3411,VIC,0,3.466933789,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3428,VIC,0,1.097332254,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
